Company,Region,City,Founded,Employees,Revenue_funding,Web,Genres,Sample_games,Internship,Remote,Ownership,Notes
Quantic Dream,Europe / Israel,Paris (France),1997,~200–300,NetEase investment,https://www.quanticdream.com,cinematic adventure,Detroit: Become Human; Heavy Rain,unknown,office,NetEase minority/investment,David Cage narrative studio.
Realmforge Studios,Europe / Israel,Munich (Germany),2008,~30-60,Dungeons; Dungeons 3/4,https://www.realmforge.de,strategy / dungeon,Dungeons series,unknown,office,Kalypso,German dungeon-keeper-like.
Rebellion Developments,Europe / Israel,Oxford (UK),1992,~400+,Sniper Elite; 2000 AD IP,https://rebellion.com,AAA/AA shooter,Sniper Elite; Zombie Army,unknown,office,independent,British independent AAA.
Rebellion North,Europe / Israel,Liverpool area (UK),—,Rebellion internal,support,https://rebellion.com,AAA support,Sniper Elite support,unknown,office,Rebellion,Rebellion north campus.
RedLynx,Europe / Israel,Helsinki (Finland),2000,~100–150,Trials,https://www.redlynx.com,arcade racing / action,Trials series,unknown,office,Ubisoft,Finland Ubisoft studio.
Remedy Entertainment,Europe / Israel,Espoo (Finland),1995,~400+,Control / Alan Wake; public,https://www.remedygames.com,AAA action-adventure,Control; Alan Wake; Max Payne (historical),unknown,office,public (Finland),Northlight engine; cinematic action.
Resolution Games,Europe / Israel,Stockholm (Sweden),2015,~100-150,VR multiplayer,https://www.resolutiongames.com,VR,Disc Golf; various VR,unknown,office,independent,Sweden VR.
Rocksteady Studios,Europe / Israel,London (UK),2004,~200–250,unknown (WB),https://www.rocksteadyltd.com,AAA action,Batman: Arkham; Suicide Squad,unknown,office,Warner Bros. Games,Arkham formula.
Roll7,Europe / Israel,London (UK),2008,~30-60,OlliOlli,https://www.roll7.co.uk,indie sports,OlliOlli World,unknown,office,Take-Two / Private Division,Skate indie.
Room 8 Studio,Europe / Israel,Kyiv / Nicosia / global,2011,~1000+,art / co-dev,https://www.room8studio.com,service; art,multiple AAA art/co-dev,unknown,distributed,private,Ukrainian root service.
Rovio Entertainment,Europe / Israel,Espoo (Finland),2003,~500 range,Sega acquisition (2023),https://www.rovio.com,mobile / IP,Angry Birds,unknown,hybrid,Sega,Angry Birds IP; Sega group.
Saber Interactive,Europe / Israel,Fort Lauderdale roots; studios EU/US,2001,~1000+ (group periodic),port + IP; Embracer simplification,https://www.saber3d.com,AAA service/shooter,World War Z; Space Marine 2 (co-op),unknown,multi-office,Beacon Interactive (post-Embracer exit),Large service network; ownership changed 2024+.
Sandfall Interactive,Europe / Israel,Montpellier (France),2020,~30-50,Clair Obscur: Expedition 33,https://www.sandfall-interactive.com,JRPG-like / narrative,Clair Obscur: Expedition 33,unknown,office,independent (Kepler Interactive publishing),2025 breakout French RPG.
SayGames,Europe / Israel,Limassol (Cyprus),2017,~200+,hypercasual publishing,https://say.games,mobile hypercasual,multi-title,unknown,distributed,private,Hypercasual publisher.
Sega Hardlight,Europe / Israel,Royal Tunbridge Wells (UK),2012,~50-100,Sonic mobile,https://www.sega.co.uk,mobile,Sonic Dash; Sonic Forces Mobile,unknown,office,Sega,Sega UK mobile studio.
Sharkmob,Europe / Israel,Malmö (Sweden) / London,2017,~200-300,Bloodhunt,https://www.sharkmob.com,live service,Bloodhunt; Exoborne,unknown,multi-office,Tencent,Sweden/UK live service.
Shiro Games,Europe / Israel,Bordeaux (France),2012,~50-80,Northgard; Wartales,https://www.shirogames.com,strategy / RPG,Northgard; Wartales,unknown,office,independent,Bordeaux strategy.
SIDE,Europe / Israel,London (UK),2000,~1000+,audio / performance,https://side.global,audio; mocap,AAA audio/perf,unknown,global,private,Audio and performance capture.
SIE London Studio,Europe / Israel,London (UK),2002,~100-200,VR / SingStar historical,https://www.playstation.com,VR / first-party,SingStar; PlayStation VR worlds,unknown,office,Sony / PlayStation Studios,PlayStation London (London Studio).
Slightly Mad Studios,Europe / Israel,London (UK),2009,~100-150,Project CARS,https://www.slightlymadstudios.com,racing sim,Project CARS series,unknown,office,EA / Codemasters,Sim racing.
Slipgate Ironworks,Europe / Israel,Aalborg (Denmark),2017,~20-40,WRATH; Bombshell,https://slipgateironworks.com,FPS / publishing,WRATH: Aeon of Ruin; various,unknown,office,3D Realms / associated with Embracer,Denmark FPS/publishing.
Sloclap,Europe / Israel,Paris (France),2015,~50-80,Sifu; Absolver,https://www.sloclap.com,fighting / action,Sifu; Absolver,unknown,office,independent,Paris fighting action.
Small Giant Games,Europe / Israel,Helsinki (Finland),2013,~100-200,Empires & Puzzles,https://www.smallgiantgames.com,mobile match-RPG,Empires & Puzzles,unknown,office,Zynga / Take-Two,Finland mobile; Zynga acquisition.
Snowprint Studios,Europe / Israel,Stockholm (Sweden),2017,~100-200,Tacticus,https://www.snowprintstudios.com,mobile strategy,"Warhammer 40,000: Tacticus",unknown,office,independent,Sweden mobile strategy.
Socialpoint,Europe / Israel,Barcelona (Spain),2008,~300+,mobile social,https://www.socialpoint.es,mobile casual / social,Dragon City; Monster Legends,unknown,office,Take-Two / Zynga,Barcelona mobile.
Softgames,Europe / Israel,Berlin (Germany),2009,~100-200,HTML5 / casual,https://www.softgames.de,mobile / HTML5,very casual title,unknown,office,private,Berlin casual publishing.
Southend Interactive,Europe / Israel,Malmö (Sweden),1998,~50-100,co-dev,https://www.southendinteractive.com,co-dev,various,unknown,office,independent,Sweden co-dev.
Space Ape Games,Europe / Israel,London (UK),2012,~100-150,mobile strategy,https://www.spaceapegames.com,mobile strategy,Transformers: Earth Wars,unknown,office,independent,London live-ops mobile.
Spiders,Europe / Israel,Paris (France),2008,~100–150,unknown (Nacon),https://www.spiders-games.com,action-RPG,GreedFall; Steelrising,unknown,office,Nacon,French AA RPG.
Sports Interactive,Europe / Israel,London (UK),1994,~200+,Football Manager annual,https://www.footballmanager.com,sports management sim,Football Manager,unknown,office,Sega,FM culture / database.
Star Vault,Europe / Israel,Sweden,2010,~20-40,Mortal Online,https://www.starvault.se,sandbox MMO,Mortal Online 2,unknown,office,independent,Sweden sandbox MMO.
Starbreeze Studios,Europe / Israel,Stockholm (Sweden),1998,~200+,PAYDAY,https://www.starbreeze.com,co-op FPS,PAYDAY 2; PAYDAY 3,unknown,office,public (Sweden),Co-op heist.
Starward Industries,Europe / Israel,Kraków (Poland),2019,~50-80,The Invincible,https://starward.eu,narrative sci-fi,The Invincible,unknown,office,independent,Lem adaptation.
Stillfront Group,Europe / Israel,Stockholm (Sweden),2010,~1300+,holding revenues,https://www.stillfront.com,mobile/strategy holding,multi-studio portfolio,unknown,mixed,public (Sweden),Multi-studio mobile holding.
Studio Fizbin,Europe / Israel,Ludwigshafen (Germany),2011,small,indie narrative,https://www.studio-fizbin.com,indie narrative,The Inner World,unknown,small,independent,German narrative.
Stunlock Studios,Europe / Israel,Skövde (Sweden),2010,~50-100,V Rising; Battlerite,https://www.stunlockstudios.com,action / survival,V Rising; Battlerite,unknown,office,independent (Tencent minority history),Swedish action/survival.
Sulake,Europe / Israel,Helsinki (Finland),2000,~100-200,Habbo,https://www.sulake.com,social virtual world,Habbo,unknown,office,Azerion,Early social virtual world.
Supercell,Europe / Israel,Helsinki (Finland),2010,~400+,Clash / Brawl live service; Tencent,https://supercell.com,mobile strategy / live ops,Clash of Clans; Clash Royale; Brawl Stars; Hay Day,unknown,office (cell culture),Tencent majority,"Cell model; few games, high quality."
SUPERHOT Team,Europe / Israel,Warsaw / Łódź (Poland),2013,~20-40,SUPERHOT,https://superhotgame.com,FPS / indie,SUPERHOT; SUPERHOT VR; Mind Control Delete,unknown,small,independent,Time-manipulating FPS.
SuperPlay,Europe / Israel,Tel Aviv (Israel),2019,~100-200,Dice Dreams,https://www.superplay.co,mobile casual,Dice Dreams,unknown,office,private,Israeli casual.
SYBO,Europe / Israel,Copenhagen (Denmark),2010,~100–150,Subway Surfers MAU,https://sybogames.com,mobile endless runner,Subway Surfers,unknown,office,independent,One of the most downloaded runners in the world.
Systemic Reaction,Europe / Israel,Stockholm (Sweden),—,In-house Avalanche,theHunter,https://avalanchestudios.com,online / hunting,theHunter: Call of the Wild,unknown,office,Avalanche,Avalanche online studio label.
Tarsier Studios,Europe / Israel,Malmö (Sweden),2004,~50-80,Little Nightmares,https://tarsier.se,horror / platform,Little Nightmares series,unknown,office,Embracer,Little Nightmares.
Tate Multimedia,Europe / Israel,Warsaw (Poland),2000,~50-100,Urban Trial,https://tate.pl,publishing; racing,Urban Trial series,unknown,office,independent,Poland publishing/development.
Team17,Europe / Israel,Wakefield (BK),1990,~300+,Worms + indie publishing,https://www.team17.com,publishing; indie-AA,Worms; Overcooked (publishing history); Hell Let Loose,unknown,hybrid,public (BK),Indie-friendly British publisher.
Team17 Digital,Europe / Israel,Wakefield (BK),2018 (brand),Team17 group,publishing + development,https://www.team17.com,publishing; development,Worms; Overcooked publication; Hell Let Loose,unknown,office,Team17,Team17 digital/publishing arm.
Techland,Europe / Israel,Wrocław (Poland),1991,~500+,Dying Light series,https://www.techland.net,AAA action/zombie,Dying Light,unknown,office,private,Poland open world action.
Techland Warsaw,Europe / Israel,Warsaw (Poland),—,Techland internal,Dying Light support,https://www.techland.net,AAA support,Dying Light,unknown,office,Techland,Techland Warsaw.
Tequila Works,Europe / Israel,Madrid (Spain),2009,~50–100,unknown,https://tequilaworks.com,action-adventure,Deadlight; Rime; Song of Nunu,unknown,office,independent,Spanish AA/indie.
The Astronauts,Europe / Israel,Warsaw (Poland),2012,~50–80,unknown,https://www.theastronauts.com,FPS / narrative,Witchfire; The Vanishing of Ethan Carter,unknown,office,independent,Ethan Carter + Witchfire.
The Chinese Room,Europe / Israel,Brighton (UK),2007,~30-50,Dear Esther,https://www.thechineseroom.co.uk,walking sim,Dear Esther; Everybody's Gone to the Rapture,unknown,office,Sumo / Tencent,Walking sim pioneer.
The Game Kitchen,Europe / Israel,Sevilla (Spain),2010,~20-40,Blasphemous,https://thegamekitchen.com,metroidvania,Blasphemous; Blasphemous II,unknown,office,independent,Spanish metroidvania hit.
THQ Nordic,Europe / Israel,Vienna (Austria),2011,Within Embracer,unknown,https://www.thqnordic.com,publisher; AA,SpongeBob; Darksiders; Destroy All Humans,unknown,mixed,Embracer,Classic IP revival.
Thunderful Games,Europe / Israel,Gothenburg (Sweden),—,Inside Thunderful,development,https://thunderfulgroup.com,development,SteamWorld; various TFG,unknown,office,Thunderful Group,Thunderful development branch.
Thunderful Group,Europe / Israel,Gothenburg (Sweden),2019,~500+,holding,https://thunderfulgroup.com,holding; indie-AA,SteamWorld ecosystem,unknown,mixed,public (Sweden),Sweden game group.
Toadman Interactive,Europe / Israel,Stockholm (Sweden),2013,~50-100,service,https://www.toadmaninteractive.com,service,various,unknown,office,private,Sweden service.
Traplight,Europe / Israel,Tampere (Finland),2011,~50-100,mobile,https://traplightgames.com,mobile action,Puzzle Breakers; various,unknown,office,independent,Finland mobile.
Travian Games,Europe / Israel,Munich (Germany),2005,~100-200,Travian,https://www.traviangames.com,browser strategy,Travian,unknown,office,private,Classic browser strategy.
Triumph Studios,Europe / Israel,Delft (Netherlands),1997,~30-60,Age of Wonders,https://www.triumphstudios.com,strategy / 4X,Age of Wonders series; Overlord,unknown,office,Paradox (acquisition),Netherlands 4X; Paradox.
Two Desperados,Europe / Israel,Novi Sad (Serbia),2014,~50-100,Not ShadowFight — Crystalix / midcore,https://twodesperados.com,mobile midcore,various midcore,unknown,office,independent,Serbia mobile.
Ubisoft,Europe / Israel,Saint-Mandé / Paris (France),1986,~18000+,annual several billion $ range,https://www.ubisoft.com,AAA publishing; open world,Assassin's Creed; Far Cry; Rainbow Six; Mario+Rabbids,yes — internship (common in France/Canada),hybrid / office,public (UBI); Guillemot family,"Montreal, Toronto, Paris, Milan, Pune network."
Ubisoft Annecy,Europe / Israel,Annecy (France),1996,~200-300,multiplayer / support,https://www.ubisoft.com,multiplayer,Assassin's Creed multiplayer historical,unknown,office,Ubisoft,Alps Ubisoft.
Ubisoft Barcelona,Europe / Israel,Barcelona (Spain),1998,~300-400,mobile + support,https://www.ubisoft.com,mobile / support,various Ubisoft mobile/support,unknown,office,Ubisoft,Spain Ubisoft.
Ubisoft Berlin,Europe / Israel,Berlin (Germany),2018,~100-200,AAA / new campus,https://www.ubisoft.com,AAA,various projects / support,unknown,office,Ubisoft,Germany Ubisoft (Blue Byte separate).
Ubisoft Blue Byte,Europe / Israel,Düsseldorf / Mainz (Germany),1988,~400+,Anno; The Settlers,https://www.bluebyte.com,strategy / sim,Anno; The Settlers,unknown,office,Ubisoft,German strategy Ubisoft.
Ubisoft Bordeaux,Europe / Israel,Bordeaux (France),2017,~200-300,AC support,https://www.ubisoft.com,AAA support,Assassin's Creed support,unknown,office,Ubisoft,New France campus.
Ubisoft Bucharest,Europe / Israel,Bucharest (Romania),1992,~700+,Rainbow Six contribution,https://www.ubisoft.com,AAA / live,Rainbow Six Siege contribution,unknown,office,Ubisoft,Eastern Europe Ubisoft.
Ubisoft Leamington,Europe / Israel,Leamington Spa (UK),2012 (FreeStyleGames legacy),~100-150,steep / racing / support,https://www.ubisoft.com,sports / support,Steep; Riders Republic contribution,unknown,office,Ubisoft,UK Ubisoft (FreeStyleGames).
Ubisoft Milan,Europe / Israel,Milan (Italy),2001,~150-250,Mario+Rabbids,https://www.ubisoft.com,strategy / co-dev,Mario + Rabbids Kingdom Battle; Sparks of Hope,unknown,office,Ubisoft,Italy Ubisoft.
Ubisoft Montpellier,Europe / Israel,Montpellier (France),1994,~200-300,Rayman; BG&E,https://www.ubisoft.com,action-adventure,Beyond Good & Evil; Rayman Legends,unknown,office,Ubisoft,Michel Ancel legacy.
Ubisoft Montréal,Europe / Israel,"Montréal, QC (Canada)",1997,~3500+ range,Inside Ubisoft,https://montreal.ubisoft.com,AAA open world,Assassin's Creed; Rainbow Six Siege,yes — strong internship,office / hybrid,Ubisoft,One of the largest studios in North America.
Ubisoft Odessa,Europe / Israel,Odesa (Ukraine),2018,~100-200 (periodic),AAA support,https://www.ubisoft.com,AAA support,various Ubisoft support,unknown,office,Ubisoft,Ukrainian Ubisoft; operational changes during wartime.
Ubisoft Paris,Europe / Israel,Paris (France),1992,~500+,Rainbow Six; Ghost Recon,https://www.ubisoft.com,AAA shooter,Rainbow Six Siege; Ghost Recon,unknown,office,Ubisoft,France shooter hub.
Ubisoft Reflections,Europe / Israel,Newcastle (UK),1984,~200-300,Driver; Watch Dogs Legion contribution,https://www.ubisoft.com,AAA / racing roots,Driver series; Watch Dogs Legion,unknown,office,Ubisoft,Classic Driver studio.
Ubisoft Sofia,Europe / Israel,Sofia (Bulgaria),2006,~200-300,AC support,https://www.ubisoft.com,AAA support,Assassin's Creed support; Prince of Persia: The Lost Crown,unknown,office,Ubisoft,Bulgaria Ubisoft.
Ubisoft Stockholm,Europe / Israel,Stockholm (Sweden),2017,~100-200,Avatar / Tom Clancy support,https://www.ubisoft.com,AAA support,Avatar: Frontiers of Pandora contribution; support,unknown,office,Ubisoft,Sweden Ubisoft (Massive separate).
Virtual Toys,Europe / Israel,Madrid (Spain),1999,~50-100,family / children,https://www.virtualtoys.com,family,various,unknown,office,independent,Spanish family studio.
Voidpoint,Europe / Israel,Ireland / remote,2015,small,Ion Fury,https://voidpoint.com,FPS,Ion Fury,unknown,remote,independent,Build Engine FPS.
Voidpoint / Ion Fury — Voidpoint,Europe / Israel,Ireland / remote,2015,small,Ion Fury,https://voidpoint.com,FPS,Ion Fury; Aftershock,unknown,remote,independent (3D Realms publishing),Build Engine FPS.
Voodoo,Europe / Israel,Paris (France),2013,~800+,hypercasual publishing / hybrid,https://www.voodoo.io,mobile hypercasual / hybrid,numerous hyper-casual titles,unknown,hybrid,private,European hypercasual publishing engine.
Vostok Games,Europe / Israel,Kyiv / Nicosia,2012,~50-100,Survarium,https://vostokgames.com,survival / shooter,Survarium; Fear the Wolves,unknown,distributed,independent,STALKER veterans.
Wooga,Europe / Israel,Berlin (Germany),2009,~300+,June's Journey,https://www.wooga.com,mobile narrative,June's Journey; Pearl's Peril,unknown,office,Playtika,Berlin story casual.
XDev,Europe / Israel,Liverpool / London (UK),2007 (SIE),~50-100,PlayStation third-party support,https://www.playstation.com,publishing support / QA,third party PS support,unknown,office,Sony / PlayStation,SIE external development support unit.
Yager Development,Europe / Israel,Berlin (Germany),1999,~100–150,unknown,https://yager.de,shooter / service,Spec Ops: The Line; The Cycle (historical),unknown,office,independent,Berlin studio; Spec Ops cult.
Zoink,Europe / Israel,Gothenburg (Sweden),2001,~30-60,Lost in Random; Stick It to the Man,https://zoinkgames.com,indie action-adventure,Lost in Random; The Stretchers,unknown,office,Thunderful,Thunderful group studio.
1-UP Studio,Japan,Tokyo (Japan),2000 (Brownie Brown),~50-80,Mother / Mario support,https://www.1-up-studio.jp,first-party support,Mother 3; Mario & Luigi support periods,unknown,office,Nintendo,Nintendo second party.
Acquire,Japan,Tokyo (Japan),1994,~100-150,Tenchu; Akiba's Trip,https://www.acquire.co.jp,action / RPG,Tenchu; Akiba's Trip,unknown,office,independent,Japanese action/RPG.
Aiming,Japan,Tokyo (Japan),2011,~300+,mobile MMO,https://aiming-inc.com,mobile MMO,various,unknown,office,public,Japanese mobile MMO.
Akatsuki,Japan,Tokyo (Japan),2010,~500+,mobile RPG,https://aktsk.jp,mobile; anime IP,Fantasia Re:Zero etc. seasonal,unknown,office,public (Tokyo),Japanese mobile RPG.
AlphaDream,Japan,Tokyo (Japan),2000,closed (2019),Mario & Luigi,,JRPG,Mario & Luigi series,-,-,closed,Historical Nintendo second party.
Ambrella (tarihsel),Japan,Tokyo (Japan),1996-2020,closed,Hey You Pikachu; Pokémon Channel,https://www.nintendo.com,Pokémon side,"Hey You, Pikachu!; Pokémon Rumble World",-,-,closed,Historical Pokémon spin-off studio.
Aniplex,Japan,Tokyo (Japan),1995,Sony Music group,anime IP,https://www.aniplex.co.jp,publishing / IP,SAO games; Fate ecosystem,unknown,office,Sony Music Japan,Anime IP power center.
Arc System Works,Japan,Yokohama (Japan),1988,~200+,Guilty Gear / Strive,https://www.arcsystemworks.com,fighting,Guilty Gear; Dragon Ball FighterZ (development),unknown,office,independent,Anime fighting standard.
Ateam,Japan,Nagoya (Japan),2000,~500+,mobile,https://www.a-tm.co.jp,mobile,various romance/mobile,unknown,office,public (Tokyo),Nagoya mobile.
Atlus,Japan,Tokyo (Japan),1986,~300–400,Persona sales,https://www.atlus.com,JRPG / dungeon crawler,Persona; Shin Megami Tensei,unknown,office,Sega,Persona global breakdown.
Bandai Namco,Japan,Tokyo (Japan),2005 (merger),~8000+ (group),anime IP + game,https://www.bandainamcoent.com,publishing; fighting; RPG,Tekken; Elden Ring (publication); Pac-Man,unknown,office,public (Tokyo),Elden Ring publishing partner; extensive IP.
Bushiroad,Japan,Tokyo (Japan),2007,~500+ (group),card / anime / game,https://bushiroad.co.jp,TCG; mobile; media mix,Weiss Schwarz; BanG Dream!; D4DJ,unknown,office,public (Tokyo),Media mix + TCG.
Camelot Software Planning,Japan,Tokyo (Japan),1994,~50–80,Mario Golf / Tennis; Golden Sun,https://www.camelot.co.jp,sports / JRPG,Mario Tennis; Golden Sun,unknown,office,independent (Nintendo publishing),Nintendo sports + Golden Sun.
Capcom,Japan,Osaka (Japan),1979,~3000+,RE / MH record sales,https://www.capcom.com,AAA action / horror,Resident Evil; Monster Hunter; Street Fighter,unknown,office,public (Tokyo),RE Engine; high profitability period.
Capcom R&D Division 1,Japan,Osaka (Japan),—,in Capcom,Resident Evil; Devil May Cry,https://www.capcom.com,AAA action / horror,Resident Evil; DMC; Ghosts'n Goblins modern,unknown,office,Capcom,Capcom 1st production department.
Capcom R&D Division 2,Japan,Osaka (Japan),—,in Capcom,Monster Hunter; Street Fighter,https://www.capcom.com,AAA action / fighting,Monster Hunter; Street Fighter; Ace Attorney,unknown,office,Capcom,Capcom 2nd production department.
Cave,Japan,Tokyo (Japan),1994,~100+,shmup / pachinko transition,https://www.cave.co.jp,shoot-'em-up,DonPachi; Mushihimesama,unknown,office,public seasonal,Bullet hell icon.
Colopl,Japan,Tokyo (Japan),2008,~1000+,unknown,https://colopl.co.jp,mobile,White Cat Project etc.,unknown,office,public (Tokyo),Japanese mobile.
Compile Heart,Japan,Tokyo (Japan),2006,~50-100,Neptunia,https://www.compileheart.com,JRPG,Hyperdimension Neptunia series,unknown,office,Idea Factory,Neptunia IP.
Crafts & Meister,Japan,Osaka (Japan),2004,~50-80,co-dev / Gundam,https://www.crafts-meister.co.jp,co-dev; action,Gundam Battle; various Bandai,unknown,office,independent,Osaka co-dev.
Creatures Inc.,Japan,Tokyo (Japan),1995,~200+,Pokémon team member,https://www.creatures.co.jp,IP / development,Pokémon Ranger; card game support; Hey You Pikachu!,unknown,office,Pokémon Company partner,TPC triangle's third leg.
CyberAgent,Japan,Tokyo (Japan),1998,thousands (group),internet + game,https://www.cyberagent.co.jp,holding,Cygames parent company,unknown,office,public (Tokyo),Cygames parent company.
CyberConnect2,Japan,Fukuoka (Japan),1996,~200-300,Naruto Ultimate Ninja; .hack,https://www.cc2.co.jp,action / anime,Naruto UNS; .hack; Little Noah; Fugue,unknown,office,independent,Fukuoka anime-action.
Cygames,Japan,Tokyo (Japan),2011,~2000+,Uma Musume / Granblue,https://www.cygames.co.jp,mobile / console,Uma Musume; Granblue Fantasy; Princess Connect,unknown,office,CyberAgent,Japanese mobile IP powerhouse.
DeNA,Japan,Tokyo (Japan),1999,~2000+,mobile + sports/other,https://dena.com,mobile; publishing partnerships,Mobage platform history; Nintendo partnerships,unknown,office,public (Tokyo),Platform + game.
Dimps,Japan,Osaka (Japan),2000,~150-250,Dragon Ball; Street Fighter support,https://www.dimps.co.jp,fighting / action,Dragon Ball FighterZ (with ArcSys); SFIV support; historical Sonic support,unknown,office,independent,Osaka fighting/action co-dev.
DMM Games,Japan,Tokyo (Japan),—,DMM group,platform + game,https://games.dmm.com,platform / publishing,various PC/mobile,unknown,office,DMM.com,Japanese digital platform.
Drecom,Japan,Tokyo (Japan),2001,~300+,mobile / publishing,https://www.drecom.co.jp,mobile; publishing,various,unknown,office,public,Japanese mobile/publishing.
Epic Games Japan,Japan,Tokyo (Japan),—,in Epic,UE / Fortnite JP,https://www.epicgames.com,engine / support,Unreal Engine Japan,unknown,office,Epic Games,Epic Japan.
feelplus (tarihsel),Japan,Tokyo (Japan),2002-2012,closed,Lost Odyssey; Ninety-Nine Nights,,JRPG / action,Lost Odyssey,-,-,closed (Microsoft related),Historical Xbox JRPG.
Felistella,Japan,Tokyo / Hyogo (Japan),2010,~30-50,co-dev / JRPG support,https://www.felistella.co.jp,co-dev,various JRPG co-dev,unknown,office,independent,Japanese co-dev studio.
French-Bread,Japan,Tokyo (Japan),1993,~30-50,Melty Blood; Under Night,https://www.french-bread.net,fighting,Melty Blood; Under Night In-Birth,unknown,office,independent,Niche fighting studio.
FromSoftware,Japan,Tokyo (Japan),1986,~400+,Elden Ring / Souls,https://www.fromsoftware.jp,action-RPG,Elden Ring; Dark Souls; Armored Core; Sekiro,unknown,office,Kadokawa affiliated,Studio defining the souls-like genre.
Game Freak,Japan,Tokyo (Japan),1989,~150–200,Pokémon main series,https://www.gamefreak.co.jp,JRPG,Pokémon main series games,unknown,office,independent (TPCi partnership),Pokémon developer; Nintendo/Creatures/GF triangle.
Genius Sonority,Japan,Tokyo (Japan),2002,~50-80,Pokémon puzzle / RPG support,https://www.geniussonority.co.jp,puzzle / RPG,Pokémon Shuffle; Pokémon Trozei,unknown,office,independent,Pokémon spin-off games.
Good-Feel,Japan,Tokyo (Japan),2005,~50-100,Yoshi; Kirby support,https://www.good-feel.co.jp,platform,Yoshi's Woolly World; Kirby's Extra Epic Yarn,unknown,office,independent (Nintendo publishing),Handmade visual platform.
Grasshopper Manufacture,Japan,Tokyo (Japan),1998,~50–100,unknown,https://www.grasshopper.co.jp,action / weird,No More Heroes; Killer7; Shadows of the Damned,unknown,office,NetEase (acquisition),Suda51 studio.
Grezzo,Japan,Tokyo (Japan),2006,~100-150,Zelda remaster / Link's Awakening,https://www.grezzo.co.jp,action-adventure,Link's Awakening remake; Ocarina 3D; Majora's Mask 3D,unknown,office,independent (Nintendo publishing),Zelda remaster expert.
gumi,Japan,Tokyo (Japan),2007,~700+,mobile / blockchain experiments,https://www.gu3.co.jp,mobile RPG / publishing,Various gacha; VR/blockchain initiatives,unknown,office,public (Tokyo),Japanese mobile publishing.
GungHo Online,Japan,Tokyo (Japan),2002,~1000+,Puzzle & Dragons,https://www.gungho.co.jp,mobile puzzle-RPG,Puzzle & Dragons,unknown,office,public (Tokyo),Early mobile revenue giant.
Gust (Koei Tecmo),Japan,Nagano (Japan),1993,~150+,Atelier; Nights of Azure,https://www.gust.co.jp,JRPG,Atelier series; Blue Reflection,unknown,office,Koei Tecmo,Alchemist JRPG line.
HAL Laboratory,Japan,Tokyo / Kyoto (Japan),1980,~200+,Kirby; Super Smash Bros (historical),https://www.hallab.co.jp,first-party platform / fighting,Kirby; EarthBound (historical); Smash (with Sora),unknown,office,Nintendo close,Kirby house.
Happy Elements,Japan,Tokyo (Japan) / Beijing roots,2009,~500+,Ensemble Stars,https://www.happyelements.co.jp,mobile idol / RPG,Ensemble Stars!; Mermaid Miracle,unknown,office,private,Idol games.
Idea Factory,Japan,Tokyo (Japan),1994,~200+,automate / publishing,https://www.ideaf.co.jp,JRPG / otome / publishing,Neptunia (publisher); otome games,unknown,office,public seasonal,Idea Factory International western branch.
Intelligent Systems,Japan,Kyoto (Japan),1986,~150–200,Fire Emblem; Paper Mario collaboration,https://www.intsys.co.jp,strategy-RPG / first-party,Fire Emblem; WarioWare (joint periods),unknown,office,Nintendo close partner,FE franchise.
Japan Studio (tarihsel),Japan,Tokyo (Japan),1993-2021,closed / Team Asobi sequel,Astro; Gravity Rush; Bloodborne support,https://www.playstation.com,first-party,Astro Bot roots; Gravity Rush; Knack,-,-,Sony (restructuring),Team Asobi sequel in separate record.
KLab,Japan,Tokyo (Japan),2000,~1000+,mobile license,https://www.klab.com,mobile; anime IP,Captain Tsubasa M; Bleach mobile periods,unknown,office,public (Tokyo),Anime IP mobile.
Koei Tecmo,Japan,Yokohama (Japan),1978 / 2009 merger,~2500+,Dynasty Warriors; Nioh; Wo Long,https://www.koeitecmo.co.jp,action; sim,Nioh; Dynasty Warriors; Dead or Alive,unknown,office,public (Tokyo),Omega Force / Team Ninja.
Konami,Japan,Tokyo (Japan),1969,~7000+ (group; also non-gaming),PES/eFootball; pachinko weight,https://www.konami.com,sports; horror IP; arcade,Metal Gear (historical); Silent Hill (remake); eFootball,unknown,office,public (Tokyo),Game + entertainment holding.
Lasengle,Japan,Tokyo (Japan),2021,~200+,Fate/Grand Order,https://www.lasengle.co.jp,mobile gacha RPG,Fate/Grand Order,unknown,office,Aniplex / Sony,FGO operation studio.
Level-5,Japan,Fukuoka (Japan),1998,~300 range,unknown,https://www.level5.co.jp,JRPG / children,Professor Layton; Yo-Kai Watch; Ni no Kuni (joint),unknown,office,independent,Based in Fukuoka.
Luminous Productions,Japan,Tokyo (Japan),2018-2023,closed / SE merged,Forspoken,https://luminousproductions.square-enix.com,AAA action,Forspoken; Final Fantasy XV engine legacy,-,-,closed (Square Enix),Historical SE studio; 2023 merger.
Marvelous,Japan,Tokyo (Japan),1997,~700+ (group),Story of Seasons; Daemon X,https://www.marvelous.games,sim / action; publishing,Story of Seasons; Rune Factory; Fate/Samurai Remnant (publishing),unknown,office,public (Tokyo),Farming sim + publisher.
Mistwalker,Japan,Tokyo (Japan) / Honolulu,2004,~50-100,Blue Dragon; Fantasian,https://mistwalkercorp.com,JRPG,Blue Dragon; Lost Odyssey (publishing); Fantasian,unknown,hybrid,independent (Sakaguchi),Hironobu Sakaguchi studio.
