Firma,Bölge,Şehir,Kuruluş,Çalışan,Gelir_fon,Web,Türler,Örnek_oyunlar,Staj,Uzaktan,Sahiplik,Not
Umay Müze Tasarımı,Eskişehir,Eskişehir (ATAP),bilinmiyor,bilinmiyor,bilinmiyor,,müze / etkileşimli deneyim,bilinmiyor,bilinmiyor,bilinmiyor,bağımsız,Oyun değil; etkileşimli/müze teknolojisi — ekosistem komşusu.
Games United,Ekosistem / dernek / kuluçka,Eskişehir (Anadolu Üni. ortaklığı),bilinmiyor,—,—,,oyun kuluçka / mentorluk / yayın ortaklığı,—,kuluçka programı yürütür,—,özel,ARİNKOM TTO + Anadolu Üni. + ETO ile Oyun ve Animasyon Geliştirme Merkezi ortağı.
ARİNKOM TTO,Ekosistem / dernek / kuluçka,Eskişehir (Anadolu Üniversitesi),—,—,—,https://arinkom.anadolu.edu.tr,teknoloji transfer / ön kuluçka,—,mentorluk başvuruları açılır,—,üniversite TTO,Games United ile oyun kuluçka; ANAÇ ön kuluçka alanı.
ATAP / ETGB,Ekosistem / dernek / kuluçka,Eskişehir,1984 (ATAP),106 aktif firma (genel),—,https://www.atap.com.tr,teknopark yönetici şirket,—,bilinmiyor,—,yönetici şirket,"Mobge, 396, Craftbridge, SensiBall VR, Resimli Filim vb. barındırır."
Icarus Oyun Geliştirme Topluluğu,Ekosistem / dernek / kuluçka,Eskişehir (ESOGÜ),2023,—,—,,öğrenci oyun topluluğu,—,eğitim / etkinlik,—,öğrenci topluluğu,Ash & Pause gibi ekiplerin çıktığı yerel yetenek havuzu.
ESTÜ Prototip Merkezi,Ekosistem / dernek / kuluçka,Eskişehir (Eskişehir Teknik Üni.),—,—,—,,prototip / yaratıcı endüstri desteği,—,bilinmiyor,—,üniversite,Yerel oyun ekiplerini UMFF vb. etkinliklere taşıyor.
BEBKA,Ekosistem / dernek / kuluçka,Bursa-Eskişehir-Bilecik,—,—,—,https://www.bebka.org.tr,kalkınma ajansı / Üreten Şehirler,—,—,—,kamu,Oyun ve Animasyon Geliştirme Merkezi finansman ortağı.
ATOM,Ekosistem / dernek / kuluçka,Ankara (ODTÜ Teknokent),2008,—,—,https://atom.org.tr,ön kuluçka / kuluçka,—,hayır (stüdyolara yönlendirir),—,ODTÜ Teknokent,50+ mezun şirket; oyun/animasyon kuluçkası.
The Game Circle,Ekosistem / dernek / kuluçka,Ankara + İstanbul,2021,—,—,https://www.thegamecircle.com,hızlandırıcı / yayın / yatırım,—,bilinmiyor,—,özel,Oyun odaklı kuluçka ve yayın.
TOGED,Ekosistem / dernek / kuluçka,Türkiye geneli,—,—,—,https://toged.org,sektör derneği,—,'Bu Yaz Oyun Yaz' staj programı (geçmiş yıllar),—,STK,Üye stüdyo listesi ve staj eşleştirmesi.
OYUNDER,Ekosistem / dernek / kuluçka,Türkiye geneli,—,—,—,https://oyunder.org,tasarımcı/geliştirici/üretici derneği,—,bilinmiyor,—,STK,Sektör temsil örgütü.
Bilkent Cyberpark,Ekosistem / dernek / kuluçka,Ankara,—,—,—,https://www.cyberpark.com.tr,teknopark; Games from Türkiye,—,bilinmiyor,—,teknopark,TOGED üyesi; ticari heyetler.
Anadolu Oyun ve Animasyon Geliştirme Merkezi,Ekosistem / dernek / kuluçka,Eskişehir (Anadolu Üni. GSF),—,—,—,https://www.etonet.org.tr/proje/oyun-ve-animasyon-gelistirme-merkezi,ön kuluçka / kuluçka,—,mentorluk programı,—,Anadolu Üni. + Games United + ETO + BEBKA,Üreten Şehirler Programı; animasyon+oyun yetenek havuzu.
DEPARK / BAMBU,Ekosistem / dernek / kuluçka,İzmir,—,—,—,https://www.depark.com,teknopark / dijital oyun hızlandırma,—,bilinmiyor,—,DEÜ,"Mage, Ruff, Furtle, Althera; BAMBU D.O.S programı."
Teknopark İzmir,Ekosistem / dernek / kuluçka,İzmir (İYTE / Urla),—,—,—,https://teknoparkizmir.com.tr,teknopark,—,bilinmiyor,—,teknopark,"Digitoy, Pyro, Toon Metal, Cave, Anisoft vb."
Ege Teknopark,Ekosistem / dernek / kuluçka,İzmir (Bornova),—,—,—,https://www.egeteknopark.com.tr,teknopark,—,bilinmiyor,—,teknopark,Joinco Games vb. oyun girişimleri.
İZKA,Ekosistem / dernek / kuluçka,İzmir,2006,—,—,https://www.izka.org.tr,kalkınma ajansı / Gamescom katılım desteği,—,—,—,kamu,"Stride, Joinco, Room, Gizmolabz Gamescom 2026 desteği."
