Company,Region,City,Founded,Employees,Revenue_funding,Web,Email,Genres,Sample_games,Internship,Remote,Ownership,Notes
RedLynx,Europe,Helsinki (Finland),2000,~100–150,Trials,https://www.redlynx.com,press@redlynx.com (press),arcade racing / action,Trials Rising; Trials Fusion; Trials HD; Mario + Rabbids support (Ubisoft); Trials series; Trials serisi,unknown,office,Ubisoft,Finland Ubisoft studio.
Remedy Entertainment,Europe,Espoo (Finland),1995,~400+,Control / Alan Wake; public,https://www.remedygames.com,press@remedygames.com (press),AAA action-adventure,Alan Wake 2; Control; Max Payne; Quantum Break; Alan Wake Remastered; Alan Wake; Max Payne (historical); Max Payne (tarihsel),unknown,office,public (Finland),Narrative action-adventure; Alan Wake and Control connected universe.
Resolution Games,Europe,Stockholm (Sweden),2015,~100-150,VR multiplayer,https://www.resolutiongames.com,press@resolutiongames.com (press),VR,Demeo; Cook-Out; Angry Birds VR; Disc Golf; various VR,unknown,office,independent,Sweden VR.
Rocksteady Studios,Europe,London (UK),2004,~200–250,unknown (WB),https://www.rocksteadyltd.com,press@warnerbros.com (press),AAA action,Arkham Knight; Arkham City; Suicide Squad; Batman: Arkham Knight; Arkham Asylum; Batman: Arkham,unknown,office,Warner Bros. Games,Arkham trilogy defining Batman games; Suicide Squad follow-up.
Roll7,Europe,London (UK),2008,~30-60,OlliOlli,https://www.roll7.co.uk,press@roll7.co.uk (press),indie sports,OlliOlli World; OlliOlli; Laser League; Roll7 skate/arcade,unknown,office,Take-Two / Private Division,Skate indie.
Room 8 Studio,Europe,Kyiv / Nicosia / global,2011,~1000+,art / co-dev,https://www.room8studio.com,hello@room8studio.com (general),service; art,art; full-cycle co-dev; art / full-cycle co-dev; multiple AAA art/co-dev,unknown,distributed,private,Ukrainian root service.
Rovio Entertainment,Europe,Espoo (Finland),2003,~500 range,Sega acquisition (2023),https://www.rovio.com,press@rovio.com (press),mobile / IP,Angry Birds 2; Angry Birds Journey; Angry Birds Friends; Angry Birds,unknown,hybrid,Sega,Angry Birds IP; Sega group.
Saber Interactive,North America,Fort Lauderdale roots; studios EU/US,2001,~1000+ (group periodic),port + IP; Embracer simplification,https://www.saber3d.com,press@saber.games (press),AAA service/shooter,World War Z; Space Marine 2 (collab); Halo MCC PC; Space Marine 2 (co-op); Space Marine 2 (ortak),unknown,multi-office,Beacon Interactive (post-Embracer exit),Large service network; ownership changed 2024+.
Sandfall Interactive,Europe,Montpellier (France),2020,~30-50,Clair Obscur: Expedition 33,https://www.sandfall-interactive.com,press@sandfall-interactive.com (press),JRPG-like / narrative,Clair Obscur: Expedition 33; Expedition 33 soundtrack edition; Sandfall Interactive debut RPG; Kepler Interactive partnership title; Sandfall debut RPG; French turn-based; Kepler partnership,unknown,office,independent (Kepler Interactive publishing),Debut Clair Obscur: Expedition 33 became a global turn-based hit.
SayGames,Europe,Limassol (Cyprus),2017,~200+,hypercasual publishing,https://say.games,press@say.games (press),mobile hypercasual,Save the Dog; Count Masters; SayGames hypercasual; multi-title publishing; hypercasual publishing; multi-title,unknown,distributed,private,Hypercasual publisher.
Sega Hardlight,Europe,Royal Tunbridge Wells (UK),2012,~50-100,Sonic mobile,https://www.sega.co.uk,press@sega.com (press),mobile,Sonic Dash; Sonic Forces: Speed Battle; Sonic Forces Mobile,unknown,office,Sega,SEGA mobile studio (Sonic Dash / Sonic Forces mobile).
Sharkmob,Europe,Malmö (Sweden) / London,2017,~200-300,Bloodhunt,https://www.sharkmob.com,press@sharkmob.com (press),live service,Vampire: The Masquerade – Bloodhunt; Exoborne; Sharkmob multiplayer; Tencent-backed; Bloodhunt; First Class Trouble,unknown,multi-office,Tencent,Sweden/UK live service.
Shiro Games,Europe,Bordeaux (France),2012,~50-80,Northgard; Wartales,https://www.shirogames.com,press@shirogames.com (press),strategy / RPG,Northgard; Wartales; Evoland,unknown,office,independent,Bordeaux strategy.
SIDE,Europe,London (UK),2000,~1000+,audio / performance,https://side.global,unknown,audio; mocap,voice casting; audio localization; voice / audio localization; AAA audio/perf; AAA ses/perf,unknown,global,private,Audio and performance capture.
SIE London Studio,Europe,London (UK),2002,~100-200,VR / SingStar historical,https://www.playstation.com,press@playstation.com (press),VR / first-party,SingStar; PlayLink; London VR; PlayStation VR worlds,unknown,office,Sony / PlayStation Studios,PlayStation London (London Studio).
Slightly Mad Studios,Europe,London (UK),2009,~100-150,Project CARS,https://www.slightlymadstudios.com,press@slightlymadstudios.com (press),racing sim,Project CARS; Project CARS series; Project CARS serisi,unknown,office,EA / Codemasters,Sim racing.
Slipgate Ironworks,Europe,Aalborg (Denmark),2017,~20-40,WRATH; Bombshell,https://slipgateironworks.com,unknown,FPS / publishing,Bombshell; Rise of the Triad; WRATH: Aeon of Ruin,unknown,office,3D Realms / associated with Embracer,Denmark FPS/publishing.
Sloclap,Europe,Paris (France),2015,~50-80,Sifu; Absolver,https://www.sloclap.com,press@sloclap.com (press),fighting / action,Sifu; Absolver; Sloclap brawlers; Paris studio catalog; The Architect: Paris,unknown,office,independent,Paris fighting action.
Small Giant Games,Europe,Helsinki (Finland),2013,~100-200,Empires & Puzzles,https://www.smallgiantgames.com,press@smallgiantgames.com (press),mobile match-RPG,Empires & Puzzles; Small Giant puzzle RPG; Zynga acquisition era; Helsinki mobile; Spooky Puzzles,unknown,office,Zynga / Take-Two,Finland mobile; Zynga acquisition.
Snowprint Studios,Europe,Stockholm (Sweden),2017,~100-200,Tacticus,https://www.snowprintstudios.com,press@snowprintstudios.com (press),mobile strategy,"Warhammer 40,000: Tacticus; Snowprint live ops; Tacticus campaigns; mobile strategy; Relic of Life",unknown,office,independent,Sweden mobile strategy.
Socialpoint,Europe,Barcelona (Spain),2008,~300+,mobile social,https://www.socialpoint.es,press@socialpoint.es (press),mobile casual / social,Dragon City; Monster Legends; Socialpoint creature collectors; Zynga Barcelona; Word Life,unknown,office,Take-Two / Zynga,Barcelona mobile.
Softgames,Europe,Berlin (Germany),2009,~100-200,HTML5 / casual,https://www.softgames.de,press@softgames.de (press),mobile / HTML5,HTML5 Jewel Academy; Softgames casual catalog; browser/mobile puzzle; Berlin HTML5; HTML5 casual portfolio; very casual title,unknown,office,private,Berlin casual publishing.
Southend Interactive,Europe,Malmö (Sweden),1998,~50-100,co-dev,https://www.southendinteractive.com,unknown,co-dev,Kinect Star Wars contribution; various XR/co-dev; Southend services; Swedish co-dev,unknown,office,independent,Sweden co-dev.
Space Ape Games,Europe,London (UK),2012,~100-150,mobile strategy,https://www.spaceapegames.com,unknown,mobile strategy,Transformers: Earth Wars; Rival Stars Horse Racing; Fast & Furious: Legacy; Space Ape midcore,unknown,office,independent,London live-ops mobile.
Spiders,Europe,Paris (France),2008,~100–150,unknown (Nacon),https://www.spiders-games.com,contact@spiders-games.com (general),action-RPG,GreedFall; Bound by Flame; Steelrising,unknown,office,Nacon,French AA RPG.
Sports Interactive,Europe,London (UK),1994,~200+,Football Manager annual,https://www.footballmanager.com,press@sega.com (press),sports management sim,Football Manager 2025; FM 2024; Football Manager 2024; FM Touch; Football Manager,unknown,office,Sega,Football Manager simulation institution under Sega.
Star Vault,Europe,Sweden,2010,~20-40,Mortal Online,https://www.starvault.se,unknown,sandbox MMO,Mortal Online; Mortal Online 2; Star Vault sandbox MMOs; Swedish full-loot MMO,unknown,office,independent,Sweden sandbox MMO.
Starbreeze Studios,Europe,Stockholm (Sweden),1998,~200+,PAYDAY,https://www.starbreeze.com,press@starbreeze.com (press),co-op FPS,PAYDAY 2; PAYDAY 3; Brothers: A Tale of Two Sons (pub era); Starbreeze FPS; Brothers: A Tale of Two Sons (hist.),unknown,office,public (Sweden),Co-op heist.
Starward Industries,Europe,Kraków (Poland),2019,~50-80,The Invincible,https://starward.eu,press@starwardindustries.com (press),narrative sci-fi,The Invincible; Starward narrative sci-fi; Polish adaptation games,unknown,office,independent,Lem adaptation.
Stillfront Group,Europe,Stockholm (Sweden),2010,~1300+,holding revenues,https://www.stillfront.com,press@stillfront.com (press),mobile/strategy holding,BitArena; CW portfolio; mobile strategy group; mobile strategy group portfolio; multi-studio portfolio,unknown,mixed,public (Sweden),Multi-studio mobile holding.
Studio Fizbin,Europe,Ludwigshafen (Germany),2011,small,indie narrative,https://www.studio-fizbin.com,unknown,indie narrative,The Inner World; The Inner World 2; Fizbin point-and-click; German adventure,unknown,small,independent,German narrative.
Stunlock Studios,Europe,Skövde (Sweden),2010,~50-100,V Rising; Battlerite,https://www.stunlockstudios.com,press@stunlockstudios.com (press),action / survival,V Rising; Battlerite; Bloodline Champions; Stunlock multiplayer; Battlerite Royale,unknown,office,independent (Tencent minority history),Swedish action/survival.
Sulake,Europe,Helsinki (Finland),2000,~100-200,Habbo,https://www.sulake.com,contact@sulake.com (general); careers@sulake.com (HR); press@sulake.com (press),social virtual world,Habbo; Habbo Origins; Sulake virtual world; Finnish social platform,unknown,office,Azerion,Early social virtual world.
Supercell,Europe,Helsinki (Finland),2010,~400+,Clash / Brawl live service; Tencent,https://supercell.com,press@supercell.com (press),mobile strategy / live ops,Clash of Clans; Clash Royale; Brawl Stars; Hay Day; Squad Busters; Boom Beach; Mo.Co,unknown,office (cell culture),Tencent majority,"Cell model: few games, high quality, massive live-ops scale."
SUPERHOT Team,Europe,Warsaw / Łódź (Poland),2013,~20-40,SUPERHOT,https://superhotgame.com,press@superhotgame.com (press),FPS / indie,SUPERHOT; SUPERHOT VR; Mind Control Delete,unknown,small,independent,Time-manipulating FPS.
SuperPlay,Middle East,Tel Aviv (Israel),2019,~100-200,Dice Dreams,https://www.superplay.co,unknown,mobile casual,Dice Dreams!; SuperPlay board-casual; Israeli mobile live ops; dice merge; Dice Dreams; Domino Dreams; merge-casino hybrids,unknown,office,private,Israeli casual.
SYBO,Europe,Copenhagen (Denmark),2010,~100–150,Subway Surfers MAU,https://sybogames.com,unknown,mobile endless runner,Subway Surfers; Blade Ball partnership eras; SYBO endless runners; Copenhagen mobile; Blades of Brim; Subway Surfers City,unknown,office,independent,One of the most downloaded runners in the world.
Systemic Reaction,Europe,Stockholm (Sweden),—,In-house Avalanche,theHunter,https://avalanchestudios.com,press@avalanchestudios.com (press),online / hunting,theHunter: Call of the Wild; theHunter: Classic; Second Extinction; Avalanche Systemic,unknown,office,Avalanche,Avalanche online studio label.
Tarsier Studios,Europe,Malmö (Sweden),2004,~50-80,Little Nightmares,https://tarsier.se,press@tarsier.se (press),horror / platform,Little Nightmares; Statik; Little Nightmares series; Little Nightmares serisi,unknown,office,Embracer,Little Nightmares.
Tate Multimedia,Europe,Warsaw (Poland),2000,~50-100,Urban Trial,https://tate.pl,press@tatem.eu (press),publishing; racing,Urban Trial; Chicken Police; Urban Trial series; Urban Trial serisi,unknown,office,independent,Poland publishing/development.
Team17,Europe,Wakefield (BK),1990,~300+,Worms + indie publishing,https://www.team17.com,press@team17.com (press),publishing; indie-AA,Overcooked!; Worms; Dredge; Hell Let Loose (publish); Overcooked (publishing history); Hell Let Loose,unknown,hybrid,public (BK),Worms heritage + Overcooked/Dredge publishing success.
Team17 Digital,Europe,Wakefield (BK),2018 (brand),Team17 group,publishing + development,https://www.team17.com,press@team17.com (press),publishing; development,Overcooked!; Worms; Dredge; Hell Let Loose (publish); Overcooked publication; Hell Let Loose,unknown,office,Team17,Team17 digital/publishing arm.
Techland,Europe,Wrocław (Poland),1991,~500+,Dying Light series,https://www.techland.net,press@techland.pl (press),AAA action/zombie,Dying Light 2; Dying Light; Dying Light: The Beast; The Beast; Call of Juarez,unknown,office,private,Poland open-world action; Dying Light franchise core.
Techland Warsaw,Europe,Warsaw (Poland),—,Techland internal,Dying Light support,https://www.techland.net,press@techland.pl (press),AAA support,Dying Light; Dying Light 2 Stay Human; Dead Island (legacy); Techland parkour zombie,unknown,office,Techland,Techland Warsaw.
Tequila Works,Europe,Madrid (Spain),2009,~50–100,unknown,https://tequilaworks.com,press@tequilaworks.com (press),action-adventure,RiME; Deadlight; Song of Nunu,unknown,office,independent,Spanish AA/indie.
The Astronauts,Europe,Warsaw (Poland),2012,~50–80,unknown,https://www.theastronauts.com,press@theastronauts.com (press),FPS / narrative,Witchfire; The Vanishing of Ethan Carter; The Astronauts immersive sims; Polish FPS/RPG; Witchfire playtests,unknown,office,independent,Ethan Carter + Witchfire.
The Chinese Room,Europe,Brighton (UK),2007,~30-50,Dear Esther,https://www.thechineseroom.co.uk,press@thechineseroom.co.uk (press),walking sim,Dear Esther; Everybody's Gone to the Rapture; Still Wakes the Deep; Little Orpheus,unknown,office,Sumo / Tencent,Walking sim pioneer.
The Game Kitchen,Europe,Sevilla (Spain),2010,~20-40,Blasphemous,https://thegamekitchen.com,info@thegamekitchen.com (general); press@thegamekitchen.com (press),metroidvania,Blasphemous; Blasphemous II; The Last Door; The Game Kitchen metroidvania,unknown,office,independent,Spanish metroidvania hit.
THQ Nordic,Europe,Vienna (Austria),2011,Within Embracer,unknown,https://www.thqnordic.com,press@thqnordic.com (press),publisher; AA,Darksiders; Destroy All Humans; Desperados III; SpongeBob; Darksiders Genesis; SpongeBob Cosmic Shake; Kingdoms of Amalur,unknown,mixed,Embracer,Classic IP revival label inside Embracer.
Thunderful Games,Europe,Gothenburg (Sweden),—,Inside Thunderful,development,https://thunderfulgroup.com,press@thunderfulgroup.com (press),development,SteamWorld; Lost in Random; various TFG,unknown,office,Thunderful Group,Thunderful development branch.
Thunderful Group,Europe,Gothenburg (Sweden),2019,~500+,holding,https://thunderfulgroup.com,press@thunderfulgroup.com (press),holding; indie-AA,Nordic games group / publishing; SteamWorld ecosystem; SteamWorld ekosistemi,unknown,mixed,public (Sweden),Sweden game group.
Toadman Interactive,Europe,Stockholm (Sweden),2013,~50-100,service,https://www.toadmaninteractive.com,unknown,service,GTFO co-dev/support; Toadman services; Swedish co-dev; multiplayer support,unknown,office,private,Sweden service.
Traplight,Europe,Tampere (Finland),2011,~50-100,mobile,https://traplightgames.com,contact@traplightgames.com (general); jobs@traplightgames.com (HR); press@traplightgames.com (press),mobile action,Puzzle & Survival; Puzzle Breakers; Traplight midcore; Finnish puzzle RPG,unknown,office,independent,Finland mobile.
Travian Games,Europe,Munich (Germany),2005,~100-200,Travian,https://www.traviangames.com,unknown,browser strategy,Travian; Travian Kingdoms; Travian Legends; Travian browser strategy,unknown,office,private,Classic browser strategy.
Triumph Studios,Europe,Delft (Netherlands),1997,~30-60,Age of Wonders,https://www.triumphstudios.com,pr@paradoxinteractive.com (press),strategy / 4X,Age of Wonders series; Overlord; Age of Wonders serisi,unknown,office,Paradox (acquisition),Netherlands 4X; Paradox.
Two Desperados,Europe,Novi Sad (Serbia),2014,~50-100,Not ShadowFight — Crystalix / midcore,https://twodesperados.com,press@twodesperados.com (press),mobile midcore,Scarlet Hood and the Wicked Wood; Two Desperados adventure; Serbian indie; midcore slate; Scarlet Hood; various midcore,unknown,office,independent,Serbia mobile.
Ubisoft,Europe,Saint-Mandé / Paris (France),1986,~18000+,annual several billion $ range,https://www.ubisoft.com,press@ubisoft.com (press),AAA publishing; open world,Assassin's Creed; Far Cry; Rainbow Six; Mario+Rabbids; Assassin's Creed Valhalla; Far Cry 6; Rainbow Six Siege; Mario + Rabbids Sparks of Hope,yes — internship (common in France/Canada),hybrid / office,public (UBI); Guillemot family,Open-world and live-service specialist with a dense global studio mesh.
Ubisoft Annecy,Europe,Annecy (France),1996,~200-300,multiplayer / support,https://www.ubisoft.com,press@ubisoft.com (press),multiplayer,Assassin's Creed multiplayer systems; Assassin's Creed multiplayer historical; Assassin's Creed multiplayer tarihsel,unknown,office,Ubisoft,Ubisoft Annecy multiplayer/online specialist campus.
Ubisoft Barcelona,Europe,Barcelona (Spain),1998,~300-400,mobile + support,https://www.ubisoft.com,press@ubisoft.com (press),mobile / support,Might & Magic; Heroes legacy mobile; Ubisoft Barcelona live-ops; Spain Ubisoft support; Ubisoft mobile/support; various Ubisoft mobile/support,unknown,office,Ubisoft,Ubisoft Spain studio focused on mobile and live support.
Ubisoft Berlin,Europe,Berlin (Germany),2018,~100-200,AAA / new campus,https://www.ubisoft.com,press@ubisoft.com (press),AAA,For Honor support; Rainbow Six support eras; Ubisoft Berlin; Germany live-ops; Ubisoft Germany support; various projects / support,unknown,office,Ubisoft,Ubisoft Germany support campus for live-service titles.
Ubisoft Blue Byte,Europe,Düsseldorf / Mainz (Germany),1988,~400+,Anno; The Settlers,https://www.bluebyte.com,press@ubisoft.com (press),strategy / sim,Anno 1800; The Settlers; Anno 117; Anno,unknown,office,Ubisoft,"German Ubisoft strategy studio (The Settlers, Anno support)."
Ubisoft Bordeaux,Europe,Bordeaux (France),2017,~200-300,AC support,https://www.ubisoft.com,press@ubisoft.com (press),AAA support,Assassin's Creed Shadows contribution; Assassin's Creed support; Assassin's Creed destek,unknown,office,Ubisoft,Ubisoft Bordeaux campus contributing to open-world brands.
Ubisoft Bucharest,Europe,Bucharest (Romania),1992,~700+,Rainbow Six contribution,https://www.ubisoft.com,press@ubisoft.com (press),AAA / live,Tom Clancy's Rainbow Six Siege contribution; Ghost Recon support; Ubisoft Romania slate; live ops; Rainbow Six Siege contribution; Rainbow Six Siege katki,unknown,office,Ubisoft,Ubisoft Romania studio for live-ops and multiplayer support.
Ubisoft Leamington,Europe,Leamington Spa (UK),2012 (FreeStyleGames legacy),~100-150,steep / racing / support,https://www.ubisoft.com,press@ubisoft.com (press),sports / support,Steep; Riders Republic; Riders Republic contribution,unknown,office,Ubisoft,UK Ubisoft (FreeStyleGames).
Ubisoft Milan,Europe,Milan (Italy),2001,~150-250,Mario+Rabbids,https://www.ubisoft.com,press@ubisoft.com (press),strategy / co-dev,Mario + Rabbids Kingdom Battle; Mario + Rabbids Sparks of Hope; Italy Ubisoft strategy; Rabbids; Sparks of Hope,unknown,office,Ubisoft,Italy Ubisoft studio behind Mario + Rabbids strategy hits.
Ubisoft Montpellier,Europe,Montpellier (France),1994,~200-300,Rayman; BG&E,https://www.ubisoft.com,press@ubisoft.com (press),action-adventure,Beyond Good & Evil; Rayman Legends; Valiant Hearts; Beyond Good & Evil 2 (dev),unknown,office,Ubisoft,Beyond Good & Evil / Rayman creative campus in France.
Ubisoft Montréal,North America,"Montréal, QC (Canada)",1997,~3500+ range,Inside Ubisoft,https://montreal.ubisoft.com,press@ubisoft.com (press),AAA open world,Assassin's Creed; Rainbow Six Siege; Far Cry; Watch Dogs; For Honor,yes — strong internship,office / hybrid,Ubisoft,One of the largest studios in North America.
Ubisoft Odessa,Europe,Odesa (Ukraine),2018,~100-200 (periodic),AAA support,https://www.ubisoft.com,press@ubisoft.com (press),AAA support,Ubisoft services; Rainbow Six contribution; Odessa support campus; Ukraine Ubisoft; Ubisoft support services; various Ubisoft support,unknown,office,Ubisoft,Ubisoft Ukraine services hub for multiplayer/live ops.
Ubisoft Paris,Europe,Paris (France),1992,~500+,Rainbow Six; Ghost Recon,https://www.ubisoft.com,press@ubisoft.com (press),AAA shooter,Rainbow Six Siege; Ghost Recon; R6 Extraction,unknown,office,Ubisoft,Flagship Paris Ubisoft studio for Rainbow Six and more.
Ubisoft Reflections,Europe,Newcastle (UK),1984,~200-300,Driver; Watch Dogs Legion contribution,https://www.ubisoft.com,press@ubisoft.com (press),AAA / racing roots,Driver; Watch Dogs Legion; Driver series; Driver serisi,unknown,office,Ubisoft,UK Ubisoft studio (Driver heritage; open-world contribution).
Ubisoft Sofia,Europe,Sofia (Bulgaria),2006,~200-300,AC support,https://www.ubisoft.com,press@ubisoft.com (press),AAA support,Prince of Persia: The Lost Crown; Assassin's Creed support; Assassin's Creed destek,unknown,office,Ubisoft,Ubisoft Bulgaria support/production campus.
Ubisoft Stockholm,Europe,Stockholm (Sweden),2017,~100-200,Avatar / Tom Clancy support,https://www.ubisoft.com,press@ubisoft.com (press),AAA support,Avatar contribution; Massive support; Avatar: Frontiers of Pandora contribution; support; destek,unknown,office,Ubisoft,Sweden Ubisoft (Massive separate).
Virtual Toys,Europe,Madrid (Spain),1999,~50-100,family / children,https://www.virtualtoys.com,press@virtualtoys.com (press),family,Sports Island; Family Trainer; Virtual Toys sports; Spanish family console; sports / family console titles,unknown,office,independent,Spanish family studio.
Voidpoint,Europe,Ireland / remote,2015,small,Ion Fury,https://voidpoint.com,unknown,FPS,Ion Fury; Ion Fury: Aftershock; Build engine revival; Voidpoint FPS,unknown,remote,independent,Build Engine FPS.
Voidpoint / Ion Fury — Voidpoint,Europe,Ireland / remote,2015,small,Ion Fury,https://voidpoint.com,press@voidpoint.com (press),FPS,Ion Fury; Ion Fury: Aftershock; Bombshell related lineage; Voidpoint FPS; Aftershock,unknown,remote,independent (3D Realms publishing),Build Engine FPS.
Voodoo,Europe,Paris (France),2013,~800+,hypercasual publishing / hybrid,https://www.voodoo.io,press@voodoo.io (press),mobile hypercasual / hybrid,Mob Control; Helix Jump; Beach Buggy Racing; numerous hyper-casual titles,unknown,hybrid,private,European hypercasual publishing engine.
Vostok Games,Europe,Kyiv / Nicosia,2012,~50-100,Survarium,https://vostokgames.com,press@vostokgames.com (press),survival / shooter,Survarium; Fear the Wolves; Vostok extraction/survival; Ukrainian studio,unknown,distributed,independent,STALKER veterans.
Wooga,Europe,Berlin (Germany),2009,~300+,June's Journey,https://www.wooga.com,press@wooga.com (press),mobile narrative,June's Journey; Pearl's Peril; Tropicats; Wooga narrative casual; Hungry Dragon,unknown,office,Playtika,Berlin story casual.
XDev,Europe,Liverpool / London (UK),2007 (SIE),~50-100,PlayStation third-party support,https://www.playstation.com,press@playstation.com (press),publishing support / QA,PlayStation Indies; EU third-party support; third party PS support,unknown,office,Sony / PlayStation,SIE external development support unit.
Yager Development,Europe,Berlin (Germany),1999,~100–150,unknown,https://yager.de,press@yager.de (press),shooter / service,Spec Ops: The Line; Deadlink; The Cycle (hist.); The Cycle (historical); The Cycle (tarihsel),unknown,office,independent,Berlin studio; Spec Ops cult.
Zoink,Europe,Gothenburg (Sweden),2001,~30-60,Lost in Random; Stick It to the Man,https://zoinkgames.com,press@zoinkgames.com (press),indie action-adventure,Lost in Random; Ghost Giant; The Stretchers,unknown,office,Thunderful,Thunderful group studio.
1-UP Studio,Japan,Tokyo (Japan),2000 (Brownie Brown),~50-80,Mother / Mario support,https://www.1-up-studio.jp,press@noa.nintendo.com (press),first-party support,Mother 3; Mario & Luigi: Partners in Time support; Nintendo RPG support; Tokyo Nintendo partner; Mario & Luigi support periods,unknown,office,Nintendo,Nintendo-affiliated Tokyo RPG partner (Mother 3 lineage).
Acquire,Japan,Tokyo (Japan),1994,~100-150,Tenchu; Akiba's Trip,https://www.acquire.co.jp,unknown,action / RPG,Tenchu series; Akiba's Trip; Octopath Traveler support; Acquire action/RPG; Tenchu,unknown,office,independent,Japanese action/RPG.
Aiming,Japan,Tokyo (Japan),2011,~300+,mobile MMO,https://aiming-inc.com,unknown,mobile MMO,Dragon Quest Tact support eras; Aiming online; Japanese mobile MMO; Aiming catalog,unknown,office,public,Japanese mobile MMO.
Akatsuki,Japan,Tokyo (Japan),2010,~500+,mobile RPG,https://aktsk.jp,unknown,mobile; anime IP,Fantasia Re:Zero; Septima Heroes; Akatsuki midcore; Tokyo mobile RPG; Fantasia Re:Zero etc. seasonal,unknown,office,public (Tokyo),Japanese mobile RPG.
AlphaDream,Japan,Tokyo (Japan),2000,closed (2019),Mario & Luigi,,unknown,JRPG,Mario & Luigi: Superstar Saga; Mario & Luigi: Dream Team; Mario & Luigi: Bowser's Inside Story; Mario & Luigi: Paper Jam; Mario & Luigi series; Mario & Luigi serisi,-,-,closed,Historical Nintendo second party.
Ambrella (tarihsel),Japan,Tokyo (Japan),1996-2020,closed,Hey You Pikachu; Pokémon Channel,https://www.nintendo.com,unknown,Pokémon side,"Hey You, Pikachu!; Pokémon Rumble; Pokémon Rumble World; Pokémon Dash",-,-,closed,Historical Pokémon spin-off studio.
Aniplex,Japan,Tokyo (Japan),1995,Sony Music group,anime IP,https://www.aniplex.co.jp,press@aniplex.co.jp (press),publishing / IP,Fate/Grand Order; SAO games; Demon Slayer games; Fate ecosystem; SAO oyunlari; Fate ekosistemi,unknown,office,Sony Music Japan,Anime IP power center; FGO and SAO ecosystem.
Arc System Works,Japan,Yokohama (Japan),1988,~200+,Guilty Gear / Strive,https://www.arcsystemworks.com,press@arcsystemworks.com (press),fighting,Guilty Gear Strive; Dragon Ball FighterZ; BlazBlue; Granblue Fantasy Versus; Guilty Gear; Dragon Ball FighterZ (development),unknown,office,independent,Anime fighter specialist; Guilty Gear and DBFZ.
Ateam,Japan,Nagoya (Japan),2000,~500+,mobile,https://www.a-tm.co.jp,unknown,mobile,Dark Heroes; romance/mobile titles; Ateam entertainment; Japanese midcore; various romance/mobile,unknown,office,public (Tokyo),Nagoya mobile.
Atlus,Japan,Tokyo (Japan),1986,~300–400,Persona sales,https://www.atlus.com,press@atlus.com (press),JRPG / dungeon crawler,Persona 5 Royal; Persona 3 Reload; Metaphor: ReFantazio; SMT V Vengeance; Catherine Full Body; Persona; Shin Megami Tensei,unknown,office,Sega,Persona and SMT flagship JRPGs inside Sega Sammy.
Bandai Namco,Japan,Tokyo (Japan),2005 (merger),~8000+ (group),anime IP + game,https://www.bandainamcoent.com,press@bandainamcoent.com (press),publishing; fighting; RPG,Tekken 8; Elden Ring (publish); Pac-Man; Dark Souls (publish); Scarlet Nexus; Tales of Arise; Dragon Ball FighterZ; Armored Core VI (publish),unknown,office,public (Tokyo),Broad IP house; Elden Ring publishing partner with FromSoftware.
Bushiroad,Japan,Tokyo (Japan),2007,~500+ (group),card / anime / game,https://bushiroad.co.jp,unknown,TCG; mobile; media mix,Weiss Schwarz; BanG Dream!; D4DJ,unknown,office,public (Tokyo),Media mix + TCG.
Camelot Software Planning,Japan,Tokyo (Japan),1994,~50–80,Mario Golf / Tennis; Golden Sun,https://www.camelot.co.jp,press@noa.nintendo.com (press),sports / JRPG,Mario Golf: Super Rush; Mario Tennis Aces; Mario Tennis; Golden Sun,unknown,office,independent (Nintendo publishing),Nintendo sports + Golden Sun.
Capcom,Japan,Osaka (Japan),1979,~3000+,RE / MH record sales,https://www.capcom.com,press@capcom.com (press),AAA action / horror,Resident Evil 4; Monster Hunter; Street Fighter 6; Monster Hunter Wilds; Devil May Cry 5; Ace Attorney; Dragon's Dogma 2; Mega Man,unknown,office,public (Tokyo),"RE Engine era profitability; Resident Evil, Monster Hunter, Street Fighter."
Capcom R&D Division 1,Japan,Osaka (Japan),—,in Capcom,Resident Evil; Devil May Cry,https://www.capcom.com,press@capcom.com (press),AAA action / horror,Resident Evil remakes; Devil May Cry 5; Exoprimal; Resident Evil; DMC; Ghosts'n Goblins modern,unknown,office,Capcom,Resident Evil remake engine room; RE Engine showcase unit.
Capcom R&D Division 2,Japan,Osaka (Japan),—,in Capcom,Monster Hunter; Street Fighter,https://www.capcom.com,press@capcom.com (press),AAA action / fighting,Monster Hunter World; Street Fighter 6; Ace Attorney; Monster Hunter; Street Fighter,unknown,office,Capcom,Monster Hunter and Street Fighter production department.
Cave,Japan,Tokyo (Japan),1994,~100+,shmup / pachinko transition,https://www.cave.co.jp,unknown,shoot-'em-up,DonPachi; DoDonPachi; Mushihimesama; Akai Katana,unknown,office,public seasonal,Bullet hell icon.
Colopl,Japan,Tokyo (Japan),2008,~1000+,unknown,https://colopl.co.jp,principles@colopl.jp (press); help@colopl.jp (support),mobile,White Cat Project; Quiz RPG: The World of Mystic Wiz; Colopl VR; Japanese mobile RPG; White Cat Project etc.; White Cat Project vb.,unknown,office,public (Tokyo),Japanese mobile.
Compile Heart,Japan,Tokyo (Japan),2006,~50-100,Neptunia,https://www.compileheart.com,unknown,JRPG,Neptunia; Death end re; Quest; Hyperdimension Neptunia series; Hyperdimension Neptunia serisi,unknown,office,Idea Factory,Neptunia IP.
