Company,Region,City,Founded,Employees,Revenue_funding,Web,Email,Genres,Sample_games,Internship,Remote,Ownership,Notes
ESTÜ Prototip Merkezi,Ecosystem / association / incubator,Eskişehir (Eskişehir Technical University),2024,—,—,https://estupromer.eskisehir.edu.tr,estupromer@eskisehir.edu.tr (press),prototype / creative industry support,—,unknown,—,university,Bringing local game teams to events like UMFF.
BEBKA,Ecosystem / association / incubator,Bursa-Eskişehir-Bilecik,—,—,—,https://www.bebka.org.tr,bebka@bebka.org.tr (general),development agency / Producing Cities,—,—,—,public,Game and Animation Development Center funding partner.
ATOM,Ecosystem / association / incubator,Ankara (METU Technopolis),2008,—,—,https://atom.org.tr,unknown,pre-incubation / incubation,—,no (redirects to studios),—,METU Technopolis,50+ graduate companies; game/animation incubator.
The Game Circle,Ecosystem / association / incubator,Ankara + Istanbul,2021,—,—,https://www.thegamecircle.com,info@thegamecircle.com (general),accelerator / publishing / investment,—,unknown,—,private,Game-focused incubation and publishing.
TOGED,Ecosystem / association / incubator,Nationwide in Turkey,—,—,—,https://toged.org,info@toged.org (general),industry association,—,'Write a Game This Summer' internship program (previous years),—,STK,Member studio list and internship matching. Turkish Game Developers Association.
OYUNDER,Ecosystem / association / incubator,Nationwide in Turkey,—,—,—,https://oyunder.org,unknown,designer/developer/producer association,—,unknown,—,STK,Industry representative organization.
Bilkent Cyberpark,Ecosystem / association / incubator,Ankara,—,—,—,https://www.cyberpark.com.tr,unknown,technopark; Games from Turkey,—,unknown,—,tech park,TOGED member; trade delegations.
Anadolu Oyun ve Animasyon Geliştirme Merkezi,Ecosystem / association / incubator,Eskişehir (Anadolu Uni. GSF),—,—,—,https://www.etonet.org.tr/proje/oyun-ve-animasyon-gelistirme-merkezi,bilgi@etonet.org.tr (general),pre-incubation / incubation,—,mentorship program,—,Anadolu Uni. + Games United + ETO + BEBKA,Producing Cities Program; animation+game talent pool.
DEPARK / BAMBU,Ecosystem / association / incubator,Izmir,—,—,—,https://www.depark.com,info@depark.com (general),technopark / digital game acceleration,—,unknown,—,DEU,"Mage, Ruff, Furtle, Althera; BAMBU D.O.S program."
Teknopark İzmir,Ecosystem / association / incubator,Izmir (İYTE / Urla),—,—,—,https://teknoparkizmir.com.tr,genelmudurluk@teknoparkizmir.com (general); genelmudurluk@teknoparkizmir.com.tr (general),tech park,—,unknown,—,tech park,"Digitoy, Pyro, Toon Metal, Cave, Anisoft etc."
Ege Teknopark,Ecosystem / association / incubator,Izmir (Bornova),—,—,—,https://www.egeteknopark.com.tr,teknoparkege@egeteknopark.com.tr (general),tech park,—,unknown,—,tech park,Joinco Games and similar game initiatives.
İZKA,Ecosystem / association / incubator,Izmir,2006,—,—,https://www.izka.org.tr,evrakkayit@izka.org.tr (general); genelsekreter@izka.org.tr (general); kurumsaliletisim@izka.org.tr (general),development agency / Gamescom participation support,—,—,—,public,"Stride, Joinco, Room, Gizmolabz Gamescom 2026 support."
Libra Softworks,Istanbul,Istanbul (Kadıköy / Merdivenköy),2017,unknown,"$30M funding (Actera, 2022)",https://librasoftworks.com/,librasoftworks@gmail.com (general),mobile casual / puzzle / word,Joy Blast; Word Universe; Goodwill Tiles; Hidden Wordz,unknown,unknown,independent (Actera investment),One of Turkey's most heavily funded studios; focused on word and puzzle games. Well-funded puzzle/word studio.
Fuse Games,Istanbul,Istanbul,unknown (2024–2025 press),unknown,"$2M funding (NFX, Lakestar)",https://fusegam.es/,fuse@fusegam.es (general); support@fusegam.es (support),mobile puzzle / match,Kitchen Match; Park Match - Car Sort Puzzle; Hexa Flow; Solitaire Connections; Jewel Sort; Word Match; Mahjong Match; Block Crunch,unknown (careers page exists),unknown,independent,Next-gen mobile studio; Kitchen Match and App Store sort/puzzle portfolio; AI-assisted production emphasis.
Mega Fortuna,Other cities,Bursa / Istanbul,2023,~28–34 (2025 press),$10M+ Aonic investment (2025); ~$12.3M total,https://megafortuna.co/,info@megafortuna.co (general),game discovery / rewards platform (play-to-earn),Richie Games; Earnimo; PunkteWelt,unknown,unknown,independent (Aonic minority stake),Not a classic studio; game discovery and rewards platform. Founders from App Samurai / POW Games. Rewarded/loyalty line via Richie Games / Earnimo.
